cell_id,total_buildings,buildings_within_400m,accessibility_pct,avg_distance_m,ndvi_mean,ndvi_min,ndvi_max,ndvi_std
81,92,48,52.2,405.2,0.281840380859375,0.03919089585542679,0.43446892499923706,0.06787341737973458
82,12,0,0.0,968.0,0.379561328125,0.11782119423151016,0.5195607542991638,0.06895725588639716
83,12,0,0.0,1031.4,0.39372666015625,0.08388908207416534,0.5106419324874878,0.07095258695446072
85,25,0,0.0,1078.2,0.35469501953125,-0.005684302654117346,0.5061376690864563,0.10335318483052162
86,52,0,0.0,1243.1,0.319735302734375,0.0012970168609172106,0.5055404305458069,0.100414969670885
87,18,0,0.0,489.6,0.3225650390625,0.09323308616876602,0.5178459882736206,0.07419278004985755
88,114,99,86.8,242.8,0.25775693359375,0.04357181116938591,0.42468732595443726,0.07340608248745253
89,78,53,67.9,283.5,0.28334677734375,0.065749891102314,0.4428917467594147,0.06916696867387177
90,126,87,69.0,305.7,0.194843798828125,0.01033484935760498,0.4053667187690735,0.07889945360872207
91,337,337,100.0,81.4,0.08181614990234375,-0.01287553645670414,0.3363981544971466,0.05886010805237553
92,59,59,100.0,113.5,0.0660134389449139,-0.014468789100646973,0.38006341457366943,0.09209012175817935
93,22,22,100.0,79.4,0.24337462133290816,-0.06212252005934715,0.5608465671539307,0.15634235255039752
94,56,56,100.0,79.8,0.1379384033203125,-0.031077053397893906,0.4428521394729614,0.1152755287299736
95,122,122,100.0,208.6,0.216009033203125,0.0010319917928427458,0.44362565875053406,0.09573250289475417
96,222,138,62.2,351.8,0.254961279296875,0.059582918882369995,0.44707250595092773,0.07041886009097781
97,168,164,97.6,214.4,0.272465771484375,0.09080325812101364,0.48623520135879517,0.06990026748314994
98,147,147,100.0,99.9,0.2597183349609375,0.06056644767522812,0.4312977194786072,0.06686514775883076
99,132,132,100.0,93.9,0.2458304931640625,0.024686669930815697,0.4762600362300873,0.09161682668995257
100,91,91,100.0,71.7,0.270446923828125,0.028289178386330605,0.46968358755111694,0.10232943346417503
101,73,73,100.0,97.2,0.1816789794921875,-0.004926108289510012,0.5015384554862976,0.12219247099195692
102,62,61,98.4,223.8,0.26434619140625,0.007352941203862429,0.5202076435089111,0.11683648933382049
103,19,8,42.1,342.6,0.3318727294921875,0.04270109161734581,0.5644020438194275,0.11680307772070513
104,16,9,56.3,400.2,0.372502001953125,0.048685912042856216,0.5566083788871765,0.12228765077429973
106,1,1,100.0,237.3,0.352439697265625,0.09305912256240845,0.521644651889801,0.06065582556810248
108,28,17,60.7,414.6,0.3795281005859375,0.1052507683634758,0.5054265856742859,0.05571499464812597
109,5,0,0.0,622.8,0.3999836181640625,0.1518225073814392,0.5146841406822205,0.04574124190889178
110,3,1,33.3,462.1,0.4212568359375,0.1225157231092453,0.5027235746383667,0.041312889854879735
111,84,79,94.0,283.8,0.27786787109375,0.03459637612104416,0.49280327558517456,0.09573669155778762
112,59,53,89.8,273.9,0.293290283203125,0.05418381467461586,0.5090543031692505,0.08361919279682496
113,200,194,97.0,214.6,0.1663302001953125,-0.008388521149754524,0.427807480096817,0.09689610599367204
114,205,205,100.0,99.7,0.11941177978515626,0.007575757801532745,0.3904910385608673,0.07921185923987561
115,22,22,100.0,129.7,0.1584322061344069,0.0,0.4329453110694885,0.14823686255467677
116,109,109,100.0,96.1,0.23157231544961734,0.0,0.5002778172492981,0.10574097002490565
117,86,86,100.0,168.9,0.1487216552734375,-0.026706231757998466,0.4264269471168518,0.10550449727783258
118,166,166,100.0,138.8,0.266880224609375,0.06284613162279129,0.4633179008960724,0.061666595739970465
119,180,100,55.6,368.4,0.2381525146484375,0.014048531651496887,0.47603505849838257,0.07572859898710334
120,100,82,82.0,285.6,0.2163802734375,0.014676450751721859,0.43968871235847473,0.09159139763066369
121,140,140,100.0,125.4,0.2293268310546875,0.030497591942548752,0.42374199628829956,0.07738497617291093
122,128,128,100.0,141.4,0.224966455078125,0.013000519946217537,0.430014967918396,0.08754099689049655
123,156,156,100.0,159.9,0.24403623046875,0.028145695105195045,0.4836956560611725,0.07357155401524797
124,87,87,100.0,116.7,0.2688130859375,0.04291469603776932,0.5242319703102112,0.100347286373485
125,60,60,100.0,148.2,0.271538916015625,0.04178885743021965,0.48814839124679565,0.09326453602117835
126,100,66,66.0,347.2,0.22763447265625,0.017608409747481346,0.5108674168586731,0.09558597837066712
127,11,11,100.0,218.9,0.43025078125,0.12164009362459183,0.5705355405807495,0.06013124459925804
128,2,2,100.0,0.0,0.386268408203125,0.1534883677959442,0.5134355425834656,0.050638298461102564
129,1,1,100.0,65.3,0.3467343505859375,0.12724214792251587,0.47237879037857056,0.04681032512575667
130,1,1,100.0,0.0,0.36217939453125,0.1247544214129448,0.4802139103412628,0.04990757895021252
131,28,28,100.0,201.2,0.375369970703125,0.1261398196220398,0.4893617033958435,0.058399053734668666
133,40,40,100.0,240.5,0.375656494140625,0.06729081273078918,0.5345304012298584,0.08638879046119441
134,193,193,100.0,120.4,0.20448311767578126,0.010788382031023502,0.42998477816581726,0.10283592309738405
135,144,144,100.0,155.1,0.218704443359375,-0.0007942811935208738,0.47317230701446533,0.09365096690703568
136,162,162,100.0,111.3,0.1232135498046875,-0.008810572326183319,0.3929961025714874,0.08059299014162248
137,199,199,100.0,70.3,0.13813214111328126,0.005050505045801401,0.4128626585006714,0.08044165573285272
138,37,37,100.0,111.6,0.14299762336575256,0.0,0.44348111748695374,0.1354751608324908
139,59,43,72.9,334.9,0.2314069973692602,0.0,0.46889418363571167,0.10465598947441455
140,107,84,78.5,317.7,0.28356767578125,0.0338028185069561,0.5030103921890259,0.09264300036111685
141,141,141,100.0,123.9,0.259759716796875,0.089788056910038,0.42811670899391174,0.06467422617610674
142,100,99,99.0,244.9,0.224948974609375,0.034169942140579224,0.46717411279678345,0.0784329022639211
143,64,64,100.0,86.3,0.2422273681640625,0.03719676658511162,0.4622378945350647,0.09531745266486935
144,95,95,100.0,186.8,0.2140284423828125,0.022954091429710388,0.42439401149749756,0.08940248158153309
145,108,108,100.0,71.4,0.285557177734375,0.07479022443294525,0.5288256406784058,0.09007506680812925
146,113,113,100.0,104.4,0.265125830078125,0.052002985030412674,0.4497765600681305,0.06751136360537502
147,103,103,100.0,97.8,0.2658975830078125,0.03409726172685623,0.4911847710609436,0.0880846706893466
148,62,60,96.8,230.7,0.24281728515625,0.03456892818212509,0.4971078634262085,0.10013087686042133
149,74,74,100.0,212.3,0.2230847412109375,-0.033733561635017395,0.4426446259021759,0.0945605237117758
150,71,71,100.0,123.9,0.293872119140625,0.014979700557887554,0.5044127702713013,0.10209557027872512
151,1,0,0.0,449.3,0.398082861328125,0.21672315895557404,0.4999113976955414,0.039545365083746106
152,9,5,55.6,392.7,0.4074442138671875,0.1191752552986145,0.48900294303894043,0.040297264389072
153,1,1,100.0,0.0,0.38721591796875,0.2141830325126648,0.5033373236656189,0.046026215362796344
154,1,1,100.0,0.0,0.355809033203125,0.20168855786323547,0.47883787751197815,0.05147533690297364
155,1,1,100.0,243.0,0.3489866943359375,0.10937092453241348,0.4874672591686249,0.05288117103796548
156,1,1,100.0,84.2,0.3800088623046875,0.1926657259464264,0.528870701789856,0.05765187126867094
157,171,171,100.0,54.7,0.22529267578125,0.011287545785307884,0.49913644790649414,0.1196672397347288
158,406,343,84.5,300.2,0.10240701904296876,-0.03696027770638466,0.3444788455963135,0.07977219159431179
159,335,302,90.1,295.0,0.08910791015625,-0.030105464160442352,0.333581805229187,0.07023091605375612
160,254,254,100.0,68.5,0.12497554931640625,-0.00494233937934041,0.34588825702667236,0.0753877756551158
161,117,117,100.0,128.4,0.055489003706951534,-0.024517972022294998,0.30324622988700867,0.06976589405415627
162,37,28,75.7,281.7,0.27413643973214286,0.0,0.545391321182251,0.11993489481560862
163,102,101,99.0,172.0,0.3035834716796875,0.053811658173799515,0.5575101375579834,0.0874973599092344
164,144,144,100.0,89.1,0.236667724609375,0.038655463606119156,0.45152929425239563,0.07104283871847741
165,86,86,100.0,171.8,0.17750003662109376,-0.012174743227660656,0.4047619104385376,0.09491053846975907
166,58,58,100.0,164.5,0.1703995849609375,0.007620660588145256,0.49416908621788025,0.09222730357751434
167,50,47,94.0,305.3,0.241729541015625,0.006009615492075682,0.48087987303733826,0.08602289952838409
168,59,59,100.0,96.4,0.2330842529296875,0.02304147556424141,0.4709630310535431,0.09390776839857554
169,73,73,100.0,155.4,0.21026220703125,-0.010765202343463898,0.46062925457954407,0.1069218206390254
170,63,63,100.0,77.9,0.2542169921875,0.04462644085288048,0.4644622504711151,0.08699814331440972
171,59,59,100.0,147.7,0.2624451904296875,-0.07331708073616028,0.46481290459632874,0.08960248149099054
172,84,84,100.0,220.4,0.1973401611328125,0.009766792878508568,0.4325648844242096,0.10150603208141297
173,87,87,100.0,59.1,0.2296685546875,0.021969079971313477,0.4472639262676239,0.0959486457685024
174,39,39,100.0,86.8,0.34771181640625,0.04877500608563423,0.4914485216140747,0.10688131369559946
176,3,0,0.0,573.8,0.387126513671875,0.12974579632282257,0.5107471942901611,0.04919960186163687
180,23,23,100.0,257.4,0.3853403076171875,0.04412447661161423,0.5499429702758789,0.1000214258107991
181,216,216,100.0,187.5,0.17840220947265625,-0.031956352293491364,0.47524115443229675,0.13994456864221988
